Titulo,Empresa,Localizacao,Salario,Salario_Min,Salario_Max,Nivel_Experiencia,Tipo_Empresa,Modalidade,Data_Publicacao,Tecnologias,Tem_Beneficios,Link
Vendedor,Não informada,Home Office,"Até R$ 2.000,00",2000.0,2000.0,Lideranca,Financeiro,Não especificada,Não informada,,Não,https://www.catho.com.br/vagas/vendedor/32107194/
Home office,Não informada,Home Office,A combinar,,,Nao Especificado,Nao Categorizado,TRABALHE DE QUALQUER LUGAR COM LIBERDADE DE TEMPO E FINANCEIRA Trabalho 100% home office em que o único pré-requisito é ter ambição profissional. Nossa missão é formar do ZERO …,Não informada,,Não,https://www.catho.com.br/vagas/home-office/32134363/
Vendedor Home Office,Não informada,Home Office,"Até R$ 2.000,00",2000.0,2000.0,Nao Especificado,Nao Categorizado,?? VAGA ABERTA ?? ??Vendedor(a) de Espaço Publicitário – Home Office (PJ) ?? Local: Pinheiros/SP ?? Leia com atenção e dê o primeiro passo nessa oportunidade! ?? Na TOP WORK…,"Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Vendedor Home Office
1 vaga: | CLT (Efetivo) | Publicada em 13/06
Até R$ 2.000,00
São Paulo - SP (1)
Sobre a vaga
Responsabilidades do Cargo:
"" Realizar atendimento ao cliente via telefone, e-mail e plataformas digitais.
"" Identificar as necessidades dos clientes e oferecer soluções adequadas.
"" Manter um relacionamento próximo com os clientes, garantindo satisfação e fidelização.
"" Negociar condições de pagamento e prazos de entrega.
"" Atualizar e gerenciar o sistema CRM da empresa.
Requisitos:
"" Experiência prévia em vendas, preferencialmente em ambiente home office.
"" Excelentes habilidades de comunicação verbal e escrita.
"" Proatividade e capacidade de trabalhar de forma independente.
"" Habilidade em negociação e fechamento de vendas.
"" Familiaridade com ferramentas digitais e CRM.
"" Equipamento necessário: computador ou notebook.

Habilidades Esperadas:
"" Boa comunicação e facilidade em falar ao telefone.
"" Ser bem-humorado(a) e simpático(a).

compartilhar
Horário

Segunda à sexta 09:00 às 18:00

Regime de Contratação

CLT (Efetivo)

Dados da Empresa
NICE ASSESSORIA

Cadastre-se gratuitamente para ver mais informações da empresa.

Quero me candidatar
Vagas parecidas com esta
VENDEDOR CLINÍCA ODONTOLOGICA HOME OFFICE
14/04/2025
MG ODONTOLOGIA ESPECIAIZADA
1 vaga em São Paulo (São Paulo)
Até R$ 2.000,00
Estamos em busca de um(a) Vendedor(a) para atuar de forma remota no segmento da saúde. Procuramos alguém proativo, comunicativo e com foco em resultados para integrar nosso time…
Vendedor(a) de Espaço Publicitário – Home Office (PJ)
28/05/2025
TOP WORK RECURSOS HUMANOS
1 vaga em São Paulo (São Paulo)
Até R$ 2.000,00
?? VAGA ABERTA ?? ??Vendedor(a) de Espaço Publicitário – Home Office (PJ) ?? Local: Pinheiros/SP ?? Leia com atenção e dê o primeiro passo nessa oportunidade! ?? Na TOP WORK…
Vendedor
Hoje
CS CONSULTORIA
1 vaga em São Paulo (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Prospecção de novos clientes; Atendimento presencial e online aos clientes; Vendas de materiais de decoração: papel de parede, ripados, piso vinílico, persianas entre…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",git,Não,https://www.catho.com.br/vagas/vendedor-home-office/32123963/
SDR - Home Office,Não informada,Home Office,"De R$ 4.001,00 a R$ 5.000,00",4001.0,5000.0,Nao Especificado,Nao Categorizado,Não especificada,"Como será seu dia a dia? Prospectar e captar novos clientes, propondo soluções eficazes e personalizadas; Construir e manter relacionamentos comerciais de longo prazo; Elaborar…",,Não,https://www.catho.com.br/vagas/sdr-home-office/32169760/
Estágio Financeiro (Home Office),Não informada,Home Office,"Até R$ 2.000,00",2000.0,2000.0,Trainee,Financeiro,"Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Estágio Financeiro (Home Office)
1 vaga: | Publicada hoje
Até R$ 2.000,00
Salvador - BA (1)
Sobre a vaga
Estamos buscando um(a) Estagiário(a) Financeiro(a) proativo(a) e organizado(a) para integrar nossa equipe, atuando de forma 100% remota (Home Office). Este profissional terá a oportunidade de desenvolver suas habilidades na área financeira, com foco essencial na rotina de conciliação bancária, contribuindo diretamente para a saúde financeira da empresa. Principais Responsabilidades: Realizar a conciliação bancária diária e mensal de diversas contas e bancos. Identificar e solucionar divergências nos registros contábeis e extratos bancários. Auxiliar na organização e controle de documentos financeiros. Manter a organização e arquivo digital de informações financeiras. Experiência Comprovada: Essencial ter experiência prévia com conciliação bancária, lidando com múltiplos bancos. Recursos de Trabalho: Possuir computador próprio com acesso estável à internet para desempenho das atividades em Home Office. Disponibilidade: Disponibilidade para estagiar de Segunda a Sexta-feira, das 08h00 às 13h00 (5 horas diárias). Habilidades e Conhecimentos Desejáveis: Conhecimento básico de Pacote Office, principalmente Excel (planilhas, fórmulas básicas). Proatividade, organização e atenção aos detalhes. Boa comunicação interpessoal e escrita. Capacidade de trabalhar de forma autônoma e em equipe remota. Interesse em aprender sobre rotinas financeiras e contábeis de uma empresa. Modalidade: Home Office Jornada: Segunda a Sexta- feira, das 08h00 às 13h00.
compartilhar
Dados da Empresa
ALLYADA DESENVOLVIMENTO HUMANO E ORGANIZACIONAL

Cadastre-se gratuitamente para ver mais informações da empresa.

Quero me candidatar
Vagas parecidas com esta
Estágio - Adm - Financeiro - Home Office
16/04/2025
Empresa Confidencial
1 vaga em Salvador (Bahia)
Até R$ 2.000,00
Estamos em busca de um estudante engajado e motivado para se juntar ao nosso time em um estágio nas áreas administrativa e financeira. Este estágio é uma excelente oportunidade…
Estágio - Adm - Financeiro - Home Office
31/03/2025
Empresa Confidencial
1 vaga em Salvador (Bahia)
Até R$ 2.000,00
Estamos em busca de um estudante engajado e motivado para se juntar ao nosso time em um estágio nas áreas administrativa e financeira. Este estágio é uma excelente oportunidade…
Estágio em Administração de Empresas
Ontem
ALLYADA DESENVOLVIMENTO HUMANO E ORGANIZACIONAL
1 vaga em Salvador (Bahia)
Até R$ 2.000,00
Deverá estar cursando: Para esta posição, é desejável que o candidato possua conhecimento prévio na rotina supracitada. Além disso, buscamos estudantes de Administração ou Gestão…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade","Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Estágio Financeiro (Home Office)
1 vaga: | Publicada hoje
Até R$ 2.000,00
Salvador - BA (1)
Sobre a vaga
Estamos buscando um(a) Estagiário(a) Financeiro(a) proativo(a) e organizado(a) para integrar nossa equipe, atuando de forma 100% remota (Home Office). Este profissional terá a oportunidade de desenvolver suas habilidades na área financeira, com foco essencial na rotina de conciliação bancária, contribuindo diretamente para a saúde financeira da empresa. Principais Responsabilidades: Realizar a conciliação bancária diária e mensal de diversas contas e bancos. Identificar e solucionar divergências nos registros contábeis e extratos bancários. Auxiliar na organização e controle de documentos financeiros. Manter a organização e arquivo digital de informações financeiras. Experiência Comprovada: Essencial ter experiência prévia com conciliação bancária, lidando com múltiplos bancos. Recursos de Trabalho: Possuir computador próprio com acesso estável à internet para desempenho das atividades em Home Office. Disponibilidade: Disponibilidade para estagiar de Segunda a Sexta-feira, das 08h00 às 13h00 (5 horas diárias). Habilidades e Conhecimentos Desejáveis: Conhecimento básico de Pacote Office, principalmente Excel (planilhas, fórmulas básicas). Proatividade, organização e atenção aos detalhes. Boa comunicação interpessoal e escrita. Capacidade de trabalhar de forma autônoma e em equipe remota. Interesse em aprender sobre rotinas financeiras e contábeis de uma empresa. Modalidade: Home Office Jornada: Segunda a Sexta- feira, das 08h00 às 13h00.
compartilhar
Dados da Empresa
ALLYADA DESENVOLVIMENTO HUMANO E ORGANIZACIONAL

Cadastre-se gratuitamente para ver mais informações da empresa.

Quero me candidatar
Vagas parecidas com esta
Estágio - Adm - Financeiro - Home Office
16/04/2025
Empresa Confidencial
1 vaga em Salvador (Bahia)
Até R$ 2.000,00
Estamos em busca de um estudante engajado e motivado para se juntar ao nosso time em um estágio nas áreas administrativa e financeira. Este estágio é uma excelente oportunidade…
Estágio - Adm - Financeiro - Home Office
31/03/2025
Empresa Confidencial
1 vaga em Salvador (Bahia)
Até R$ 2.000,00
Estamos em busca de um estudante engajado e motivado para se juntar ao nosso time em um estágio nas áreas administrativa e financeira. Este estágio é uma excelente oportunidade…
Estágio em Administração de Empresas
Ontem
ALLYADA DESENVOLVIMENTO HUMANO E ORGANIZACIONAL
1 vaga em Salvador (Bahia)
Até R$ 2.000,00
Deverá estar cursando: Para esta posição, é desejável que o candidato possua conhecimento prévio na rotina supracitada. Além disso, buscamos estudantes de Administração ou Gestão…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",git,Não,https://www.catho.com.br/vagas/estagio-financeiro-home-office/32184143/
Empreenda Home Office - Vendedor,Não informada,Home Office,"De R$ 2.001,00 a R$ 3.000,00",2001.0,3000.0,Lideranca,Nao Categorizado,Não especificada,"Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Empreenda Home Office - Vendedor
1 vaga: | Prestador de serviços (PJ) | Publicada ontem
A combinar
Sorocaba - SP (1)
Sobre a vaga
Oportunidade de Empreendedorismo em Home Office - Vendedor

Estamos em busca de um profissional empreendedor e dinâmico para se juntar à nossa equipe de vendas em home office.
Se você tem paixão por gerar leads e busca um ambiente que valorize a comunicação e a ambição, esta é a oportunidade perfeita para você.

Como Vendedor, você será responsável por identificar e contatar potenciais clientes, desenvolvendo estratégias eficazes para converter leads em negócios.
Sua capacidade de comunicação clara e persuasiva será fundamental para garantir o sucesso nas negociações.
Além disso, a disposição para aprender e se adaptar às novas tendências do mercado é essencial para o crescimento contínuo.

Nossa empresa valoriza o trabalho em equipe e oferece um ambiente flexível e colaborativo.
Você terá a liberdade de gerenciar seu próprio horário e trabalhar em um ambiente que promove o bem-estar e o equilíbrio entre vida pessoal e profissional.

Para se candidatar, não é necessário ter experiência em geração de leads e nem uma forte habilidade de comunicação.
A ambição e a disposição para aprender são qualidades que serão um diferencial em sua candidatura.
Se você está pronto para desbravar novos caminhos e alcançar grandes objetivos, esta é a chance perfeita para você.

Junte-se a nós e faça parte de uma equipe que acredita no potencial de cada indivíduo para alcançar o sucesso.
Venha construir seu futuro com uma empresa que valoriza o trabalho autônomo e o espírito empreendedor.
compartilhar
Regime de Contratação

Prestador de serviços (PJ)

Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vagas parecidas com esta
Vendedor
Hoje
GRUPO RITMO MOVEIS PLANEJADOS
1 vaga em Sorocaba (São Paulo)
A combinar
Estamos em busca de um(a) Vendedor(a) para integrar nossa equipe! O profissional será responsável pelo atendimento ao cliente, levantamento de briefing, desenvolvimento de…
Vendedor
Ontem
PETNET
1 vaga em Sorocaba (São Paulo)
De R$ 2.001,00 a R$ 3.000,00
Responsável por toda área de venda. Responsável pela organização e limpeza. - Capacidade de trabalhar em equipe; - Habilidades de comunicação; - Proatividade; - Saber trabalhar…
Vendedor
09/06/2025
INVESTCONS INVESTIMENTOS E CONSORCIO
1 vaga em Sorocaba (São Paulo)
De R$ 3.001,00 a R$ 4.000,00
estamos em busca de vendedores com visão de futuro, que desejam crescer junto com uma marca em expansão nacional. Nesta vaga, você inicia como representante comercial e, com base…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",,Não,https://www.catho.com.br/vagas/empreenda-home-office-vendedor/32176257/
Empreenda Home Office - Vendedor,Não informada,Home Office,"Até R$ 2.000,00",2000.0,2000.0,Lideranca,Nao Categorizado,Não especificada,"Venda dos produtos souvenires, realização do relatório da venda do seu dia. Auxilio quando chega reposição da semana e estocar no quiosque. Experiência com vendas e atendimento ao…",,Não,https://www.catho.com.br/vagas/empreenda-home-office-vendedor/32176258/
Empreenda Home Office - Vendedor,Não informada,Home Office,"Até R$ 2.000,00",2000.0,2000.0,Lideranca,Nao Categorizado,Não especificada,"Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Empreenda Home Office - Vendedor
1 vaga: | Prestador de serviços (PJ) | Publicada ontem
A combinar
Guarulhos - SP (1)
Sobre a vaga
Oportunidade de Empreendedorismo em Home Office - Vendedor

Estamos em busca de um profissional empreendedor e dinâmico para se juntar à nossa equipe de vendas em home office.
Se você tem paixão por gerar leads e busca um ambiente que valorize a comunicação e a ambição, esta é a oportunidade perfeita para você.

Como Vendedor, você será responsável por identificar e contatar potenciais clientes, desenvolvendo estratégias eficazes para converter leads em negócios.
Sua capacidade de comunicação clara e persuasiva será fundamental para garantir o sucesso nas negociações.
Além disso, a disposição para aprender e se adaptar às novas tendências do mercado é essencial para o crescimento contínuo.

Nossa empresa valoriza o trabalho em equipe e oferece um ambiente flexível e colaborativo.
Você terá a liberdade de gerenciar seu próprio horário e trabalhar em um ambiente que promove o bem-estar e o equilíbrio entre vida pessoal e profissional.

Para se candidatar, não é necessário ter experiência em geração de leads e nem uma forte habilidade de comunicação.
A ambição e a disposição para aprender são qualidades que serão um diferencial em sua candidatura.
Se você está pronto para desbravar novos caminhos e alcançar grandes objetivos, esta é a chance perfeita para você.

Junte-se a nós e faça parte de uma equipe que acredita no potencial de cada indivíduo para alcançar o sucesso.
Venha construir seu futuro com uma empresa que valoriza o trabalho autônomo e o espírito empreendedor.
compartilhar
Regime de Contratação

Prestador de serviços (PJ)

Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vagas parecidas com esta
Vendedor
Ontem
PREMIUM TALENTS
3 vagas em Guarulhos (São Paulo)
Até R$ 2.000,00
Prospecção: Prospectar novos clientes com abordagens diretas, participação em ações específicas, ações em regiões definidas pela coordenação, entre outros, com o objetivo de…
Vendedor
Ontem
VALPEC
2 vagas em Guarulhos (São Paulo)
A combinar
Atendimento ao cliente, prospecção de novos clientes, realização de orçamentos e pedidos, acompanhamento de vendas e pós-venda.Ter contato com vendas Boa comunicação e…
Vendedor
16/06/2025
PILLOWTEX
1 vaga em Guarulhos (São Paulo)
Até R$ 2.000,00
Atender clientes com simpatia e atenção, entendendo suas necessidades. Apresentar e explicar as características dos colchões e travesseiros disponíveis. Auxiliar na escolha do…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",,Não,https://www.catho.com.br/vagas/empreenda-home-office-vendedor/32176246/
Empreenda Home Office - Vendedor,Não informada,Home Office,"Até R$ 2.000,00",2000.0,2000.0,Lideranca,Nao Categorizado,"VAGA ABERTA | VENDEDOR(A) HOME OFFICE Se você tem vontade de crescer e sede de vitória, essa oportunidade é pra você! O que você precisa saber: • Trabalho 100% remoto (onde…","Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Empreenda Home Office - Vendedor
1 vaga: | Prestador de serviços (PJ) | Publicada ontem
A combinar
Manaus - AM (1)
Sobre a vaga
Oportunidade de Empreendedorismo em Home Office - Vendedor

Estamos em busca de um profissional empreendedor e dinâmico para se juntar à nossa equipe de vendas em home office.
Se você tem paixão por gerar leads e busca um ambiente que valorize a comunicação e a ambição, esta é a oportunidade perfeita para você.

Como Vendedor, você será responsável por identificar e contatar potenciais clientes, desenvolvendo estratégias eficazes para converter leads em negócios.
Sua capacidade de comunicação clara e persuasiva será fundamental para garantir o sucesso nas negociações.
Além disso, a disposição para aprender e se adaptar às novas tendências do mercado é essencial para o crescimento contínuo.

Nossa empresa valoriza o trabalho em equipe e oferece um ambiente flexível e colaborativo.
Você terá a liberdade de gerenciar seu próprio horário e trabalhar em um ambiente que promove o bem-estar e o equilíbrio entre vida pessoal e profissional.

Para se candidatar, não é necessário ter experiência em geração de leads e nem uma forte habilidade de comunicação.
A ambição e a disposição para aprender são qualidades que serão um diferencial em sua candidatura.
Se você está pronto para desbravar novos caminhos e alcançar grandes objetivos, esta é a chance perfeita para você.

Junte-se a nós e faça parte de uma equipe que acredita no potencial de cada indivíduo para alcançar o sucesso.
Venha construir seu futuro com uma empresa que valoriza o trabalho autônomo e o espírito empreendedor.
compartilhar
Regime de Contratação

Prestador de serviços (PJ)

Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vagas parecidas com esta
Vendedor
14/06/2025
ÁGUIAS DE GAYA
1 vaga em Manaus (Amazonas)
Até R$ 2.000,00
VAGA ABERTA | VENDEDOR(A) HOME OFFICE Se você tem vontade de crescer e sede de vitória, essa oportunidade é pra você! O que você precisa saber: • Trabalho 100% remoto (onde…
Vendedor
03/06/2025
WINNER BRASIL SOLAR
2 vagas em Manaus (Amazonas)
A combinar
Você tem experiência com vendas de sistemas fotovoltaicos? Então venha fazer parte de uma empresa que está mudando o futuro com energia limpa! VAGA: Vendedor(a) de Energia Solar…
Vendedor
26/05/2025
O TELHADÃO
1 vaga em Manaus (Amazonas)
Até R$ 2.000,00
atendimento ao cliente presencial e via watssapcomprometimento, e que tenha conhecimento de telhados econstruçao a seco
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",,Não,https://www.catho.com.br/vagas/empreenda-home-office-vendedor/32176250/
Empreenda Home Office - Vendedor,Não informada,Home Office,"De R$ 2.001,00 a R$ 3.000,00",2001.0,3000.0,Lideranca,Nao Categorizado,"VAGA ABERTA | VENDEDOR(A) HOME OFFICE Se você tem vontade de crescer e sede de vitória, essa oportunidade é pra você! O que você precisa saber: • Trabalho 100% remoto (onde…","Ir para o conteúdo
Anunciar vagas grátis
Cadastrar CV grátis
Entrar
Menu
Seu novo emprego está na palma das suas mãos! Baixe nosso app e obtenha vantagens :)
Vaga de Empreenda Home Office - Vendedor
1 vaga: | Prestador de serviços (PJ) | Publicada ontem
A combinar
Recife - PE (1)
Sobre a vaga
Oportunidade de Empreendedorismo em Home Office - Vendedor

Estamos em busca de um profissional empreendedor e dinâmico para se juntar à nossa equipe de vendas em home office.
Se você tem paixão por gerar leads e busca um ambiente que valorize a comunicação e a ambição, esta é a oportunidade perfeita para você.

Como Vendedor, você será responsável por identificar e contatar potenciais clientes, desenvolvendo estratégias eficazes para converter leads em negócios.
Sua capacidade de comunicação clara e persuasiva será fundamental para garantir o sucesso nas negociações.
Além disso, a disposição para aprender e se adaptar às novas tendências do mercado é essencial para o crescimento contínuo.

Nossa empresa valoriza o trabalho em equipe e oferece um ambiente flexível e colaborativo.
Você terá a liberdade de gerenciar seu próprio horário e trabalhar em um ambiente que promove o bem-estar e o equilíbrio entre vida pessoal e profissional.

Para se candidatar, não é necessário ter experiência em geração de leads e nem uma forte habilidade de comunicação.
A ambição e a disposição para aprender são qualidades que serão um diferencial em sua candidatura.
Se você está pronto para desbravar novos caminhos e alcançar grandes objetivos, esta é a chance perfeita para você.

Junte-se a nós e faça parte de uma equipe que acredita no potencial de cada indivíduo para alcançar o sucesso.
Venha construir seu futuro com uma empresa que valoriza o trabalho autônomo e o espírito empreendedor.
compartilhar
Regime de Contratação

Prestador de serviços (PJ)

Dados da Empresa
EMPRESA CONFIDENCIAL

Por que esta empresa é confidencial?
Quero me candidatar
Vagas parecidas com esta
Vendedor
16/06/2025
DESTAQUE RH
1 vaga em Recife (Pernambuco)
De R$ 2.001,00 a R$ 3.000,00
Estamos em busca de um Vendedor dinâmico e experiente para se juntar à nossa equipe. Se você tem um forte histórico em vendas, um excelente atendimento ao cliente e uma habilidade…
Vendedor
14/06/2025
POTISIGNS
1 vaga em Recife (Pernambuco)
A combinar
Estamos em busca de um(a) profissional proativo(a), comunicativo(a) e com foco em resultados para integrar nossa equipe de vendas. O(a) Vendedor(a) será responsável por realizar…
Vendedor
14/06/2025
ÁGUIAS DE GAYA
1 vaga em Recife (Pernambuco)
A combinar
VAGA ABERTA | VENDEDOR(A) HOME OFFICE Se você tem vontade de crescer e sede de vitória, essa oportunidade é pra você! O que você precisa saber: • Trabalho 100% remoto (onde…
Institucional
Sobre Nós
Certificação de Qualidade
Compliance
Mapa do Site
Ajuda
Contato
Para candidatos
Criar Currículo Grátis
Buscar Vagas
Vagas por Área/cargo
Vagas por Estado
Planos Catho
Blog Carreira e Sucesso
Calculadoras Trabalhistas
Guia de Profissões
Modelos de Currículo
Termos e Condições de Uso
Para empresas
Cadastrar Empresa
Anunciar Vagas Grátis
Planos Catho Empresas
Blog Para Empresas
Busca de currículos
Pesquisa salarial
Recrutamento PcD
Termos e Condições de Uso
Vem com a gente nas redes sociais!
Catho Online Ltda.
CNPJ: 03.753.088/0001-00
Alameda Grajaú, 60 Barueri -
SP
- 06454-050
Política de Privacidade",,Não,https://www.catho.com.br/vagas/empreenda-home-office-vendedor/32176255/
